Display Name,File Name,Categories,
Apple,Apple1.png,fruit,food
Apple,apple2.jpeg,fruit,food
Banana,Bananas.png,fruit,food
Peaches,Peaches.png,fruit,food
Blueberries,Blueberries.png,fruit,food
Raspberries,Raspberries.png,fruit,food
Watermelon,Watermelon.png,fruit,food
Grapes,Grapes.jpg,fruit,food
Lemon,Lemon.png,fruit,food
Tangerines,Tangerines.png,fruit,food
Gloves,Gloves.png,clothes,
Belt,Belt.png,clothes,
Hat,Hat.png,clothes,
Shoes,Shoes.png,clothes,
Socks,Socks.png,clothes,
Sweater,Sweater.png,clothes,
Scarf,Scarf.png,clothes,
Coat,Coat.png,clothes,
Pants,Pants.png,clothes,
